data,perfil,dia,fonte,posicao,titulo,canal,url,duracao,publicado,views,tema
22/02/2026,P1,2,HOME,3,Chefe do cartel de Jalisco morre apos operacao militar no Mexico,CNN Brasil,https://youtu.be/2gUYLRknYJg?si=5MnLIIODX4NRAMMn,3:40,22/02/2026,1700,POLITICA
22/02/2026,P1,2,HOME,4,Parque Nacional de Brasilia fecha piscinas da Agua Mineral apos fortes chuvas,Record Brasilia,https://youtu.be/2XSuHrt9hb8?si=EyE5EqjlVQLFd49I,2:55,21/02/2026,1000,POLITICA
22/02/2026,P1,2,HOME,5,A economia nos 3 anos do governo Lula,Investidor Sardinha | Raul Sena,https://youtu.be/NrR7G2FDHVA?si=nRcRHNelIqZkXPWY,18:10,20/02/2026,168000,POLITICA
22/02/2026,P1,2,HOME,6,Guanipa recebe anistia e pede por 'Democracia' e 'liberdade' na Vanezuela,AFP Portugues,https://youtu.be/NFPBbifFDoM?si=2nwrcP5pLWGA6sSk,2:55,20/02/2026,3800,POLITICA
22/02/2026,P1,2,HOME,7,"Lula e recebido com flores em hotel em seul, na Coreia do Sul",Poder360,https://youtu.be/ZRAsCAyeuZA?si=UVX3nCfhv9Op0iab,0:43,22/02/2026,1300,POLITICA
22/02/2026,P1,2,HOME,8,Brasil sera maior beneficiado com novas tarifas de Trump,Metropoles,https://youtu.be/JP_L-MTTzxU?si=IYzB7UPqPzAM09wH,1:27,22/02/2026,2100,POLITICA
22/02/2026,P1,2,HOME,9,Lula afirma que Modi o surpreendeu com jingle da campanha,Poder360,https://youtu.be/ptS7qyynoWw?si=NpS0i6iBj5kA6IQy,2:24,22/02/2026,29000,POLITICA
22/02/2026,P1,2,HOME,10,Saiba quem sao as vitimas do acidente com lancha na divisa entre SP e MG,O POVO,https://youtu.be/Rk9Utl4iCRc?si=3Zwbd61GGw9poZS5,1:45,22/02/2026,19332,POLITICA
22/02/2026,P1,2,NEXT,1,"Lula diz que levara Receita, PF e Justica para",Poder360,https://youtu.be/DcehQYINSp0?si=LJsdH42Eodqwz7iN,4:00,22/02/2026,34000,POLITICA
22/02/2026,P1,2,NEXT,2,"Lula diz estar ""aliviado"" por nao ter tido pressa nas negociacoes",CNN Brasil,https://youtu.be/ZjSihWv9sNA?si=69hRaIi8iKCKAAEx,5:01,22/02/2026,5100,POLITICA
22/02/2026,P1,2,NEXT,3,"Na India, Lula fala em 'dominacao' de empresas de",Terra Brasil,https://youtu.be/79HSSHOFt-8?si=ZM_d1XsdC6RT_ebO,1:30,19/02/2026,2200,POLITICA
22/02/2026,P1,2,NEXT,4,"Nao queremos nova Guerra Fria', diz Lula apos Trump ",Terra Brasil,https://youtu.be/O8tCyr_vCdo?si=3rZnDwyn14eK3jPP,4:12,22/02/2026,7100,POLITICA
22/02/2026,P1,2,NEXT,5,Viana destaca capa de jornal patrocinada pela Vale na India,Poder360,https://youtu.be/t3K10fdyR1U?si=NlUUJ0ng00WI5XIx,8:18,22/02/2026,30,POLITICA
22/02/2026,P1,2,NEXT,6,Brasil sera maior beneficiado com as novas tarifas de Trump,Metropoles,https://youtu.be/JP_L-MTTzxU?si=orlOQBOy2JrF-kJd,1:27,22/02/2026,284,POLITICA
22/02/2026,P1,2,NEXT,7,Investimentos em ferrovias devem somar 140 bilhoes,Jornalismo TV Cultura,https://youtu.be/fpD7as-_PT4?si=C3NAOjBw_B3zU666,3:24,21/02/2026,5800,POLITICA
22/02/2026,P1,2,NEXT,8,"Alckmin reage a decisao de Trump: ""Tarifa global e benefica",Jovem Pan News,https://youtu.be/QniUP49PZwM?si=1xpJMCr-JSl6NLDG,4:16,22/02/2026,1200,POLITICA
22/02/2026,P1,2,NEXT,9,LULA CELEBRA QUEDA DE TARIFAS NA SUPREMA CORTE,Itatiaia,https://youtu.be/DOZ3uFlElSA?si=3n2EFqIXujIkvZt_,6:16,22/02/2026,3900,POLITICA
22/02/2026,P1,2,NEXT,10,Lula afirma que Modi o surpreendeu com jingle da campanha,Poder360,https://youtu.be/ptS7qyynoWw?si=NGoVrb85bfdRYjzq,2:24,22/02/2026,19000,POLITICA
22/02/2026,P2,2,HOME,1,MOBILIDADE DE gluteo,Isa Abrahao,https://youtu.be/3JWn5qcY6iY?si=Bc2uk5GbVkmRFULl,9:06,25/07/2025,52000,FITNESS
22/02/2026,P2,2,HOME,2,2026 vai criar novos canais de milionarios,Guria de Negocios,https://youtu.be/_iO2_s8fSVs?si=3B8gd3qSyXo2IwEP,11:22,18/02/2026,4200,FITNESS
22/02/2026,P2,2,HOME,3,ENGORDEI 8KG com ESSA VITAMINA!,Dayanne Lins,https://youtu.be/45_9i0c3mCw?si=b9lzCsFklF65M3ol,5:25,20/02/2026,2700,FITNESS
22/02/2026,P2,2,HOME,4,Qual e o Exercicio Mais Eficaz para acabar com Bracos Moles?,Mulher em Forma,https://youtu.be/lQm1RnxiNwo?si=FgKgTCdXS8Df6YWQ,6:47,15/07/2025,124000,FITNESS
22/02/2026,P2,2,HOME,5,Misture OVO CRU e LIMAO,Dayanne Lins,https://youtu.be/WWwbvXfOrFo?si=uT1Loep4z6RdZJzD,9:18,03/08/2024,2900000,FITNESS
22/02/2026,P2,2,HOME,6,PARE DE FAZER ESSES EXERCICIOS INUTEIS AGORA,Tay Training,https://youtu.be/dSMXteLdZ80?si=JxDGY2-V6uUQREMH,7:31,21/06/2022,1100000,FITNESS
22/02/2026,P2,2,HOME,7,FLACIDEZ DO INTERNO DE COXA NUNCA MAIS!,Dra Liliane Aranda,https://youtu.be/raYPNd9VZ5A?si=f_u-3XISt7YhihEP,4:18,19/02/2026,3100,FITNESS
22/02/2026,P2,2,HOME,8,A Habilidade que vai mudar a sua vida,Coco Cunha,https://youtu.be/t6KiRdMAE_U?si=FlUz77aMbkR39iOf,10:13,16/09/2025,254000,FITNESS
22/02/2026,P2,2,HOME,9,5 DECISOES PRA TER DINHEIRO E INDEPENDENCIA FINANCEIRA,Guria de Negocios,https://youtu.be/fk81ylS5vBY?si=YvZsEFR5inxMcd9j,23:13,23/01/2026,31000,FITNESS
22/02/2026,P2,2,HOME,10,Como nunca mais se afetar pela opiniao de ninguem,Camila Grecco,https://youtu.be/XpPta0VCX4M?si=fbVpitHIGAng93_v,17:15,18/02/2026,2600,FITNESS
22/02/2026,P2,2,NEXT,1,GORDURA NAS COSTAS? Treino pra TONIFICAR,Vane Fit,https://youtu.be/33u3Ttoc2qo?si=k1SHsPNt2o2B1GBw,3:16,18/02/2026,1000,FITNESS
22/02/2026,P2,2,NEXT,2,SUCO DE MILHO CREMOSO DE VERDADE,Habilidades Culinarias,https://youtu.be/U2iB9UStKoM?si=ZH7lfEM54hlXLv1t,6:57,03/02/2026,46000,FITNESS
22/02/2026,P2,2,NEXT,3,Cafe sem Acucar aos 60+,Dra. Elisa Martins,https://youtu.be/GZSJCuxWJBA?si=DigOtaoGxOwKyRR2,6:20,22/02/2026,3,FITNESS
22/02/2026,P2,2,NEXT,4,Treino PESADO para CRESCER,Tay Training,https://youtu.be/ZrHMKIGWBf8?si=eMuwEJ7lWizfCQiC,8:42,26/01/2026,64000,FITNESS
22/02/2026,P2,2,NEXT,5,Basta 1 copo por dia,Dayanne Lins,https://youtu.be/EOgW0NLhmoI?si=TMCMkciyVZacTVAc,5:58,17/02/2026,1800,FITNESS
22/02/2026,P2,2,NEXT,6,O Que Acontece Se Voce Fizer Prancha de 2 Minutos Todos os dias,"Treino, Simples.",https://youtu.be/p4v5Kkr8UOA?si=V_0DlctL9UgNzYUT,3:43,05/02/2026,12000,FITNESS
22/02/2026,P2,2,NEXT,7,TREINO COMPLETO ,Leiner Alves,https://youtu.be/Xe7i33ImuWc?si=KGIXdwbF33B51SXr,4:09,21/03/2025,461,FITNESS
22/02/2026,P2,2,NEXT,8,Voce NUNCA comeu TOMATE ASSIM,Dayanne Lins,https://youtu.be/5X5ANCOqwi4?si=E_9R73hg288VTXg2,8:20,12/05/2025,37000,FITNESS
22/02/2026,P2,2,NEXT,9,CAFE DA MANHA PERFEITO!,Nutricionista Patricia Leite,https://youtu.be/NkdTJpY6MyY?si=LEt0sGdUZIyg4qvG,9:41,20/10/2024,334000,FITNESS
