perfil,dia,fonte,posicao,posicao_mmr,canal,tema,titulo,url
P2,1,HOME,9,9,Clovis de Barros,FITNESS,"Se MEXE C#R#LH0, Va Atras Dos Seus Sonhos",https://youtu.be/qy9Fwsg-L1g?si=ITBhsfQvO5WulUPq
P2,1,HOME,10,10,Renata Lima,FITNESS,"Rotina produtiva (de verdade) as 4 da manha:habitos, treino, dicas",https://youtu.be/hTnVuaVl_4M?si=rlZYOh0FYVq50EPZ
P2,1,NEXT,1,1,Tay Training,FITNESS,Bracos secos e definidos com 3 dicas simples,https://youtu.be/01EggU0_guo?si=oE-__OIVThf-RC_n
P2,1,NEXT,2,2,Dayanne Lins,FITNESS,Pos-Treino para Pernas e Bumbum ,https://youtu.be/I2tA8DiTS2Q?si=D2Hvwr1e_OnD92TX
P2,1,NEXT,3,3,Augusto Cury - a gesao da emocao,FITNESS,Quebrar o Ciclo Vicioso da Dor Pode Estar Destruindo Voce (cuidados no autruismo),https://youtu.be/YD9p1u5w3jA?si=Ebhb8WnR_e-8jSC7
P2,1,NEXT,5,4,Treino de mae,FITNESS,OS 6 MELHORES ABDOMINAIS EM PE PRA PERDER BARRIGA,https://youtu.be/8bxrT1RbB1A?si=PjuGsk2LvltfV_tD
P2,1,NEXT,6,5,Geovana Matos,FITNESS,Vitamina caseira - me ajudou no ganho de massa muscular,https://youtu.be/fNPCH2WkUnY?si=gwJjvktlBcz0mGnN
P2,1,NEXT,7,6,Canal Esteticando - Monica Marlin,FITNESS,RESULTADO CHOCANTE! Apenas 1 exercicio e VEJA NO ESPELHO!,https://youtu.be/KUoWXTXALAU?si=Pv2iNLzORiaV061W
P2,1,NEXT,8,7,Dra Rosana Lahr,FITNESS,Medicos Estao Falando Mais Sobre Essa Vitamina e Circulacao,https://youtu.be/ehJIwZ_706A?si=cp1_PWyNkdnkCrZr
P2,1,NEXT,10,8,Dr. Mario Tenorio,FITNESS,Uma semente com 10 vezes mais colageno que caldo de ossos?,https://youtu.be/TiEpLpTwV_Q?si=T7oi8M3FL88vjtrv
P2,1,NEXT,4,9,Dayanne Lins,FITNESS,Como Aumentar de Peso de Forma Saudavel,https://youtu.be/TCPpzJMW1a8?si=fKqZBD6i3Z18JYuf
P2,1,NEXT,9,10,Tay Training,FITNESS,Como fazer o AFUNDO - O exercicio que da mais resultado,https://youtu.be/-oIl0YJGf9c?si=s9ToR6TUCkfG8LCD
P2,2,HOME,1,1,Isa Abrahao,FITNESS,MOBILIDADE DE gluteo,https://youtu.be/3JWn5qcY6iY?si=Bc2uk5GbVkmRFULl
P2,2,HOME,2,2,Guria de Negocios,FITNESS,2026 vai criar novos canais de milionarios,https://youtu.be/_iO2_s8fSVs?si=3B8gd3qSyXo2IwEP
P2,2,HOME,3,3,Dayanne Lins,FITNESS,ENGORDEI 8KG com ESSA VITAMINA!,https://youtu.be/45_9i0c3mCw?si=b9lzCsFklF65M3ol
P2,2,HOME,4,4,Mulher em Forma,FITNESS,Qual e o Exercicio Mais Eficaz para acabar com Bracos Moles?,https://youtu.be/lQm1RnxiNwo?si=FgKgTCdXS8Df6YWQ
P2,2,HOME,6,5,Tay Training,FITNESS,PARE DE FAZER ESSES EXERCICIOS INUTEIS AGORA,https://youtu.be/dSMXteLdZ80?si=JxDGY2-V6uUQREMH
P2,2,HOME,7,6,Dra Liliane Aranda,FITNESS,FLACIDEZ DO INTERNO DE COXA NUNCA MAIS!,https://youtu.be/raYPNd9VZ5A?si=f_u-3XISt7YhihEP
P2,2,HOME,8,7,Coco Cunha,FITNESS,A Habilidade que vai mudar a sua vida,https://youtu.be/t6KiRdMAE_U?si=FlUz77aMbkR39iOf
P2,2,HOME,10,8,Camila Grecco,FITNESS,Como nunca mais se afetar pela opiniao de ninguem,https://youtu.be/XpPta0VCX4M?si=fbVpitHIGAng93_v
P2,2,HOME,5,9,Dayanne Lins,FITNESS,Misture OVO CRU e LIMAO,https://youtu.be/WWwbvXfOrFo?si=uT1Loep4z6RdZJzD
P2,2,HOME,9,10,Guria de Negocios,FITNESS,5 DECISOES PRA TER DINHEIRO E INDEPENDENCIA FINANCEIRA,https://youtu.be/fk81ylS5vBY?si=YvZsEFR5inxMcd9j
